Iflaviridae species,Genome Accession,Protein Accession,Abbreviation,Name,ICTV,Host Phylum,Host Order,Host Common Name,New
Antheraea pernyi iflavirus,KF751885,AHI87751.1,LnAPIV,Antheraea pernyi iflavirus KF751885,Assigned,Arthropoda,Lepidoptera,Moth,
Brevicoryne brassicae virus,EF517277,ABP57198.1,BBV,Brevicoryne brassicae virus EF517277,Assigned,Arthropoda,Homoptera,Aphid,
Deformed wing virus,AJ489744,CAD34006.2,DWV,Deformed wing virus AJ489744,Assigned,Arthropoda,Hymenoptera,Honey bee,
Dinocampus coccinellae paralysis virus,KF843822,AIM39350.1,DcPV,Dinocampus coccinellae paralysis virus KF843822,Assigned,Arthropoda,Hymenoptera,Parasitic wasp,
Ectropis obliqua virus,AY365064,AAQ64627.1,EoV,Ectropis obliqua virus AY365064,Assigned,Arthropoda,Lepidoptera,Moth,
Infectious flacherie virus,AB000906,BAA25371.1,IFV,Infectious flacherie virus AB000906,Assigned,Arthropoda,Lepidoptera,Moth,
Lygus lineolaris virus 1,JF720348,AEL30247.1,LyLV1,Lygus lineolaris virus 1 JF720348,Assigned,Arthropoda,Hemiptera,Bug,
Lymantria dispar iflavirus 1,KJ629170,AIF75200.1,LdIV1,Lymantria dispar iflavirus 1 KJ629170,Assigned,Arthropoda,Lepidoptera,Moth,
Nilaparvata lugens honeydew virus 1,AB766259,BAN19725.1,NLHV1,Nilaparvata lugens honeydew virus 1 AB766259,Assigned,Arthropoda,Homoptera,Planthopper,
Perina nuda virus,AF323747,AAL06289.1,PnV,Perina nuda virus AF323747,Assigned,Arthropoda,Lepidoptera,Moth,
Sacbrood virus,AF092924,AAD20260.1,SBV,Sacbrood virus AF092924,Assigned,Arthropoda,Hymenoptera,Honey bee,
Slow bee paralysis virus,EU035616,ABS84820.1,SBPV,Slow bee paralysis virus EU035616,Assigned,Arthropoda,Hymenoptera,Honey bee,
Spodoptera exigua iflavirus 1,JN091707,AET36829.1,SEIV1,Spodoptera exigua iflavirus 1 JN091707,Assigned,Arthropoda,Lepidoptera,Moth,
Spodoptera exigua iflavirus 2,JN870848,AFQ98017.1,SEIV2,Spodoptera exigua iflavirus 2 JN870848,Assigned,Arthropoda,Lepidoptera,Moth,
Varroa destructor virus 1,AY251269,AAP51418.2,VDV1,Varroa destructor virus 1 AY251269,Assigned,Arthropoda,Parasitiformes,Mite,
Bombyx mori iflavirus,LC068762,BAS18834.1,BMIV,Bombyx mori iflavirus LC068762,Unassigned,Arthropoda,Lepidoptera,Moth,
Ceratitis capitata iflavirus 1,GAMC01001920,JAC04636.1,CcIV1,Ceratitis capitata iflavirus 1 GAMC01001920,Unassigned,Arthropoda,Diptera,Fruit fly,
Ceratitis capitata iflavirus 2,GAMC01020602,JAB85953.1,CcIV2,Ceratitis capitata iflavirus 2 GAMC01020602,Unassigned,Arthropoda,Diptera,Fruit fly,
Formica exsecta virus 2,KF500002,AHB62422.1,FeV2,Formica exsecta virus 2 KF500002,Unassigned,Arthropoda,Hymenoptera,Ant,
Graminella nigrifrons virus 1,KP866792,AJT58559.1,GnV1,Graminella nigrifrons virus 1 KP866792,Unassigned,Arthropoda,Homoptera,Planthopper,
Halyomorpha halys virus,KF699344,AGY34702.1,HhV,Halyomorpha halys virus KF699344,Unassigned,Arthropoda,Hemiptera,Bug,
Heliconius erato iflavirus,KJ679438,AHW98099.1,HeIV,Heliconius erato iflavirus KJ679438,Unassigned,Arthropoda,Lepidoptera,Moth,
King virus,KX779454,AOY34460.1,KgV,King virus KX779454,Unassigned,Chordata,Chiroptera,Bat,
La Jolla virus,KP714074,AKH40287.1,LJV,La Jolla virus KP714074,Unassigned,Arthropoda,Diptera,Fruit fly,
Laodelphax striatella honeydew virus 1,KF934491,AHK05791.1,LsHV1,Laodelphax striatella honeydew virus 1 KF934491,Unassigned,Arthropoda,Homoptera,Planthopper,
Laodelphax striatellus iflavirus 2,KM272628,AIX94679.1,LsIV2,Laodelphax striatellus iflavirus 2 KM272628,Unassigned,Arthropoda,Homoptera,Planthopper,
Moku virus,NC031338,YP009305421.1,MV,Moku virus NC031338,Unassigned,Arthropoda,Hymenoptera,Honey bee,
Nilaparvata lugens honeydew virus 2,AB826459,BAN57352.1,NLHV2,Nilaparvata lugens honeydew virus 2 AB826459,Unassigned,Arthropoda,Homoptera,Planthopper,
Nilaparvata lugens honeydew virus 3,AB826460,BAN57353.1,NLHV3,Nilaparvata lugens honeydew virus 3 AB826460,Unassigned,Arthropoda,Homoptera,Planthopper,
Osiphanes invirae iflavirus 1,KR534892,AKN81079.1,OiIV1,Osiphanes invirae iflavirus 1 KR534892,Unassigned,Arthropoda,Lepidoptera,Moth,
Thaumetopoea pityocampa iflavirus 1,KP217032,AJC98140.1,TpIV1,Thaumetopoea pityocampa iflavirus 1 KP217032,Unassigned,Arthropoda,Lepidoptera,Moth,
Solenopsis invicta virus 11,MH727528,Unassigned,SINV11,Solenopsis invicta virus 11 MH727528,Unassigned,Arthropoda,Hymenoptera,Ant,TRUE
