Tree,Species,Accession genome,Accession protein,Abbreviation,Name,Genus,Host phylum,Host Order,Class,Host common name,New
Dicistroviridae,Acute bee paralysis virus,AF150629,AAG13118.1,ABPV,Acute bee paralysis virus AF150629,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Honey bee,
Dicistroviridae,Anopheles C virus,KU169878,ALS55295.1,AnCV,Anopheles C virus KU169878,Cripavirus,Arthropoda,Diptera,Insecta,Mosquito,
Dicistroviridae,Aphid lethal paralysis virus,AF536531,AAN61470.1,ALPV,Aphid lethal paralysis virus AF536531,Cripavirus,Arthropoda,Homoptera,Insecta,Aphid,
Dicistroviridae,Aphis glycines virus,KX588249,ARU09833.1,AGV3,Aphis glycines virus KX588249,Cripavirus,Arthropoda,Homoptera,Insecta,Aphid,
Dicistroviridae,Apis dicistrovirus,KY354239,ARO50048.1,ADV,Apis dicistrovirus KY354239,Cripavirus,Arthropoda,Hymenoptera,Insecta,Honey bee,
Dicistroviridae,Big Sioux River virus,KY826434,ASJ76984.1,BSRV,Big Sioux River virus KY826434,Cripavirus,Arthropoda,Homoptera,Insecta,Aphid,
Dicistroviridae,Bivalve RNA virus G1,KX158871,APJ38004.1,BRNAVG1,Bivalve RNA virus G1 KX158871,Aparavirus 2,Mollusca,Ostreoida,Bivalvia,Oyster,
Dicistroviridae,Black queen cell virus,AF183905,AAF72337.1,BQCV,Black queen cell virus AF183905,Triatovirus,Arthropoda,Hymenoptera,Insecta,Honey bee,
Dicistroviridae,Centovirus,KX657784,AOX47508.1,CV,Centovirus KX657784,Cripavirus,Arthropoda,Diptera,Insecta,Mosquito,
Dicistroviridae,Cricket paralysis virus,AF218039,AAF80998.1,CrPV,Cricket paralysis virus AF218039,Cripavirus,Arthropoda,Orthoptera,Insecta,Cricket,
Dicistroviridae,Drosophila C virus,AF014388,AAC58807.1,DCV,Drosophila C virus AF014388,Cripavirus,Arthropoda,Diptera,Insecta,Fruit fly,
Dicistroviridae,Formica exsecta virus 1,KF500001,AHB62420.1,FeV1,Formica exsecta virus 1 KF500001,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Ant,
Dicistroviridae,Goose faecal-sample dicistrovirus,KT873140,ALV83314.1,GfsDV,Goose faecal-sample dicistrovirus KT873140,Cripavirus,Chordata,Anseriformes,Aves,Goose,
Dicistroviridae,Himetobi P virus,AB017037,BAA32553.1,HiPV,Himetobi P virus AB017037,Triatovirus,Arthropoda,Homoptera,Insecta,Planthopper,
Dicistroviridae,Homalodisca coagulata virus 1,DQ288865,ABC55703.1,HoCV1,Homalodisca coagulata virus 1 DQ288865,Triatovirus,Arthropoda,Homoptera,Insecta,Planthopper,
Dicistroviridae,Israeli acute paralysis virus,EF219380,AAV64179.1,IAPV,Israeli acute paralysis virus EF219380,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Honey bee,
Dicistroviridae,Kashmir bee virus,AY275710,AAP32283.1,KBV,Kashmir bee virus AY275710,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Honey bee,
Dicistroviridae,Macrobrachium rosenbergii Taihu virus,NC018570,YP006666503.2,MrTV,Macrobrachium rosenbergii Taihu virus NC018570,Aparavirus 2,Arthropoda,Decopoda,Crustacea,Shrimp,
Dicistroviridae,Mosquito virus,KX657786,AOX47512.1,MV,Mosquito virus KX657786,Cripavirus,Arthropoda,Diptera,Insecta,Mosquito,
Dicistroviridae,Mud crab virus,HM777507,ADR72923.1,MCV,Mud crab virus HM777507,Aparavirus 2,Arthropoda,Decopoda,Crustacea,Crab,
Dicistroviridae,Nilaparvata lugens C virus,KM270560,AIY53985.1,NLCV,Nilaparvata lugens C virus KM270560,Cripavirus,Arthropoda,Homoptera,Insecta,Planthopper,
Dicistroviridae,Plautia stali intestine virus,AB006531,BAA21898.1,PSIV,Plautia stali intestine virus AB006531,Triatovirus,Arthropoda,Hemiptera,Insecta,Bug,
Dicistroviridae,Rhopalosiphum padi virus,AF022937,AAC95509.1,RhPV,Rhopalosiphum padi virus AF022937,Cripavirus,Arthropoda,Homoptera,Insecta,Aphid,
Dicistroviridae,Solenopsis invicta virus 1,AY634314,AAU85375.1,SINV1,Solenopsis invicta virus 1 AY634314,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Ant,
Dicistroviridae,Solenopsis invicta virus 12,MH727529,Unassigned,SINV12,Solenopsis invicta virus 12 MH727529,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Ant,TRUE
Dicistroviridae,Solenopsis invicta virus 13,MH727530,Unassigned,SINV13,Solenopsis invicta virus 13 MH727530,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Ant,TRUE
Dicistroviridae,Solenopsis invicta virus 5,MF593921,ATO59709.1,SINV5,Solenopsis invicta virus 5 MF593921,Aparavirus 1,Arthropoda,Hymenoptera,Insecta,Ant,
